CPU,MEM,BYTE_SENT,BYTE_RECV,BYTE_READ_DISK,BYTE_WRITE_DISK,TIME_READ_DISK,TIME_WRITE_DISK,TIME
0.67,14.31,3350415157945489,4139314885771054,0,0,0,0,2026-07-30 15:03:46
1.99,14.58,3392919,185236976,None,None,None,None,2026-07-30 15:03:51
1.53,14.5,12230027,6064807,None,None,None,None,2026-07-30 15:03:56
