CPU,MEM,BYTE_SENT,BYTE_RECV,BYTE_READ_DISK,BYTE_WRITE_DISK,TIME_READ_DISK,TIME_WRITE_DISK,TIME
0.68,14.42,2584231052868806,2559056001296791,0,0,0,0,2026-07-30 15:03:46
2.02,14.69,9955931,177302311,None,None,None,None,2026-07-30 15:03:51
1.58,14.63,2301996,3966953,None,None,None,None,2026-07-30 15:03:56
